	i	j	t
50608	55	257	4499
50609	20	55	383
50610	40	274	2015
50611	68	192	2505
50612	230	256	6347
50613	321	325	7212
50614	290	304	4259
50615	304	309	1363
50616	67	236	64
50617	121	203	2886
50618	228	249	2488
50619	308	310	3583
50620	88	228	6384
50621	297	298	330
50622	126	236	2741
50623	31	167	3625
50624	300	301	2883
50625	41	131	2799
50626	70	81	2270
50627	2	264	6250
50628	139	178	1681
50629	300	320	2255
50630	108	201	1081
50631	6	74	2687
50632	210	220	4206
50633	55	257	3984
50634	20	55	1988
50635	313	314	3598
50636	68	192	316
50637	321	325	5131
50638	290	304	3765
50639	292	308	1134
50640	292	310	2913
50641	67	236	2006
50642	228	249	550
50643	308	310	6210
50644	88	228	3293
50645	31	167	5795
50646	126	236	2424
50647	127	264	4488
50648	32	70	712
50649	300	301	3564
50650	41	131	452
50651	23	103	3868
50652	2	53	6801
50653	2	264	6489
50654	313	314	4492
50655	301	320	641
50656	108	201	6664
50657	55	257	4674
50658	20	55	2390
50659	290	304	1485
50660	42	64	1792
50661	292	310	407
50662	67	236	2916
50663	121	203	4585
50664	228	249	2852
50665	32	70	582
50666	88	228	4844
50667	31	167	4231
50668	126	236	2715
50669	300	301	4896
50670	41	131	2743
50671	44	46	1471
50672	2	264	7139
50673	313	314	374
50674	14	105	548
50675	108	201	1500
50676	6	74	4575
50677	8	144	4359
50678	20	55	2921
50679	127	264	1256
50680	321	325	4905
50681	305	325	785
50682	15	210	2520
50683	290	304	2305
50684	42	64	1496
50685	293	305	3756
50686	292	308	5845
50687	292	310	289
50688	228	249	7168
50689	88	228	487
50690	297	298	4483
50691	31	167	6392
50692	300	301	6848
50693	41	131	1819
50694	2	264	5545
50695	313	314	5678
50696	14	105	4543
50697	108	201	2972
50698	8	144	6016
50699	20	55	177
50700	321	325	5552
50701	304	325	6158
50702	290	304	5042
50703	299	304	1480
50704	293	305	5535
50705	292	308	6364
50706	22	41	5431
50707	308	310	3016
50708	88	228	5170
50709	228	249	3441
50710	31	167	199
50711	127	264	761
50712	300	301	2854
50713	41	131	519
50714	32	70	769
50715	2	53	2612
50716	313	314	1353
50717	301	320	1297
50718	105	179	6089
50719	14	105	3872
50720	193	240	2443
50721	218	240	350
50722	35	269	6266
50723	108	201	3621
50724	8	144	2124
50725	20	55	752
50726	321	325	4036
50727	304	325	652
50728	290	304	2928
50729	42	64	4150
50730	292	308	793
50731	292	310	6020
50732	228	249	5779
50733	308	310	6112
50734	31	167	6081
50735	127	264	3766
50736	70	81	1604
50737	41	131	1252
50738	46	101	2617
50739	23	103	4767
50740	27	50	432
50741	50	158	4001
50742	301	320	2310
50743	14	105	993
50744	193	240	4798
50745	218	240	1763
50746	21	241	4549
50747	20	55	3461
50748	313	314	2044
50749	68	192	1145
50750	321	325	5222
50751	304	325	691
50752	35	269	2561
50753	290	304	1302
50754	178	180	394
50755	292	308	3129
50756	21	267	4184
50757	154	184	3185
50758	228	249	3177
50759	293	305	3982
50760	308	310	98
50761	108	201	2807
50762	31	167	4857
50763	127	264	2468
50764	32	70	1054
50765	25	73	4886
50766	41	131	4605
50767	46	101	1814
50768	2	264	1840
50769	313	314	931
50770	140	275	3210
50771	32	140	1274
50772	14	105	4369
50773	21	241	6986
50774	35	269	5087
50775	110	115	1492
50776	8	144	1096
50777	20	55	4551
50778	27	50	39
50779	68	192	4783
50780	230	256	2888
50781	321	325	5600
50782	21	60	1163
50783	290	304	1769
50784	292	308	3565
50785	292	310	74
50786	154	184	3680
50787	228	249	2892
50788	293	305	6219
50789	308	310	315
50790	25	73	6773
50791	108	201	6167
50792	31	167	5147
50793	127	264	2890
50794	41	131	6436
50795	32	70	1263
50796	46	101	1834
50797	27	50	2369
50798	140	275	6611
50799	32	140	5667
50800	301	320	769
50801	14	105	1693
50802	218	240	4277
50803	21	241	5438
50804	108	201	1532
50805	110	115	626
50806	8	144	496
50807	20	55	5898
50808	313	314	1155
50809	40	274	6687
50810	293	325	1050
50811	290	304	1247
50812	22	67	2256
50813	228	249	6127
50814	32	70	4914
50815	296	317	1318
50816	35	269	1419
50817	31	167	543
50818	300	301	4894
50819	34	289	1384
50820	41	131	3046
50821	308	310	948
50822	27	50	2604
50823	44	50	4421
50824	32	140	271
50825	14	105	6014
50826	21	241	4407
50827	108	201	4734
50828	8	144	4266
50829	121	203	179
50830	20	55	498
50831	313	314	3230
50832	56	226	2349
50833	40	274	6540
50834	68	192	2834
50835	230	256	7049
50836	75	145	4520
50837	290	304	1285
50838	80	93	776
50839	44	66	517
50840	292	308	819
50841	22	67	2001
50842	21	267	4527
50843	228	249	2802
50844	308	310	6884
50845	296	317	3428
50846	297	298	7177
50847	35	269	165
50848	31	167	620
50849	34	289	1796
50850	22	41	6387
50851	41	131	1910
50852	310	318	1048
50853	32	70	6357
50854	27	50	5761
50855	139	178	3093
50856	32	140	5129
50857	14	105	5397
50858	21	241	5988
50859	108	201	5065
50860	7	251	5710
50861	8	144	1144
50862	313	314	6877
50863	40	274	4772
50864	68	192	4074
50865	293	325	4520
50866	304	325	4235
50867	290	304	1836
50868	304	321	432
50869	16	19	438
50870	292	308	4341
50871	292	310	1914
50872	21	267	3096
50873	228	249	6010
50874	308	310	1327
50875	296	317	4321
50876	41	250	1620
50877	31	167	6427
50878	121	203	4884
50879	80	93	5804
50880	32	70	1489
50881	300	301	2598
50882	34	289	2914
50883	317	318	4345
50884	41	131	761
50885	2	264	4813
50886	313	314	5613
50887	32	140	1282
50888	300	320	4629
50889	14	105	772
50890	193	240	5253
50891	21	241	6359
50892	108	201	2381
50893	8	144	709
50894	68	192	2393
50895	65	221	6329
50896	290	304	1948
50897	16	19	2744
50898	292	310	6182
50899	228	249	3393
50900	308	310	2303
50901	41	250	1622
50902	31	167	6054
50903	121	203	2189
50904	300	301	6720
50905	41	131	1625
50906	313	314	5666
50907	32	140	47
50908	300	320	4708
50909	14	105	4460
50910	193	240	2197
50911	21	241	154
50912	108	201	3964
50913	7	251	1448
50914	8	144	1003
50915	40	274	2193
50916	68	192	2081
50917	290	304	7099
50918	304	321	423
50919	16	19	180
50920	292	310	1956
50921	228	249	6144
50922	308	310	939
50923	41	250	4787
50924	297	298	1965
50925	31	167	425
50926	121	203	3843
50927	300	301	708
50928	41	131	2407
50929	296	317	3099
50930	313	314	2502
50931	301	320	5640
50932	300	320	553
50933	4	162	2965
50934	193	240	2335
50935	21	241	658
50936	125	269	1463
50937	6	74	3073
50938	110	115	2777
50939	8	144	330
50940	100	137	484
50941	20	55	4416
50942	56	226	2924
50943	68	192	793
50944	230	256	3995
50945	305	325	1542
50946	290	304	3646
50947	292	308	214
50948	292	310	3586
50949	20	257	1320
50950	228	249	1272
50951	32	70	2909
50952	296	317	3107
50953	41	250	361
50954	41	131	4408
50955	108	201	6639
50956	31	167	1946
50957	121	203	2897
50958	300	301	4718
50959	34	289	63
50960	71	99	575
50961	308	310	3603
50962	313	314	2488
50963	301	320	3595
50964	4	162	7055
50965	193	240	6376
50966	21	241	5261
50967	108	201	5893
50968	110	115	7040
50969	8	144	3612
50970	20	55	4481
50971	305	325	6386
50972	293	325	1082
50973	222	248	1304
50974	290	304	7026
50975	292	308	4096
50976	292	310	1507
50977	21	267	4814
50978	121	203	5065
50979	228	249	3077
50980	32	70	2377
50981	43	132	574
50982	41	250	2530
50983	41	131	6815
50984	297	298	2273
50985	308	310	7093
50986	31	167	2628
50987	127	264	993
50988	34	289	613
50989	98	132	3272
50990	2	264	6513
50991	313	314	5065
50992	193	240	6875
50993	21	241	5784
50994	108	201	1587
50995	8	144	4567
50996	20	55	2913
50997	305	325	5636
50998	293	325	6847
50999	290	304	3901
51000	304	321	85
51001	292	310	1227
51002	32	70	27
51003	296	317	25
51004	297	298	1465
51005	31	167	4323
51006	100	137	2764
51007	127	264	901
51008	228	249	2591
51009	34	289	4001
51010	129	135	6514
51011	41	131	6602
51012	98	132	4554
51013	43	132	1098
51014	2	127	1572
51015	2	264	1008
51016	313	314	6221
51017	14	105	906
51018	193	240	3018
51019	108	201	2854
51020	6	74	229
51021	133	138	6216
51022	7	251	3232
51023	8	144	895
51024	20	55	916
51025	40	274	4788
51026	293	325	2158
51027	15	210	2539
51028	290	304	4333
51029	304	321	4262
51030	292	310	881
51031	228	249	3112
51032	32	70	92
51033	43	132	4631
51034	297	298	2562
51035	308	310	1277
51036	31	167	6313
51037	100	137	3593
51038	127	264	1351
51039	129	135	763
51040	41	131	4376
51041	98	132	2528
51042	2	264	1039
51043	313	314	4556
51044	4	162	1072
51045	193	240	1450
51046	108	201	1881
51047	133	138	182
51048	8	144	5232
51049	68	192	193
51050	305	325	5793
51051	293	325	4542
51052	15	210	4821
51053	290	304	6082
51054	292	310	4755
51055	308	310	1953
51056	43	132	3044
51057	41	250	6141
51058	47	283	1511
51059	297	298	5256
51060	31	167	5261
51061	100	137	1995
51062	127	264	1781
51063	32	70	6829
51064	129	135	7106
51065	41	131	4008
51066	98	132	5770
51067	138	152	3111
51068	133	138	2150
51069	139	178	2710
51070	105	179	6299
51071	108	201	5914
51072	2	264	2851
51073	313	314	4230
51074	68	192	413
51075	305	325	5072
51076	293	325	3396
51077	15	210	151
51078	21	60	5339
51079	290	304	2017
51080	304	321	1566
51081	299	304	534
51082	292	308	53
51083	292	310	142
51084	308	310	6655
51085	296	317	4040
51086	72	98	5382
51087	297	298	6179
51088	31	167	4356
51089	127	264	4015
51090	34	289	414
51091	129	135	667
51092	41	131	3420
51093	317	318	4549
51094	98	132	5490
51095	100	137	748
51096	2	264	1560
51097	313	314	1221
51098	105	179	7101
51099	108	201	3909
51100	305	325	2871
51101	15	210	3928
51102	290	304	4255
51103	291	304	2422
51104	299	304	6036
51105	292	310	2569
51106	308	310	3440
51107	207	282	2716
51108	296	317	4868
51109	297	298	371
51110	31	167	6316
51111	100	137	3248
51112	127	264	1002
51113	34	289	3150
51114	41	131	7311
51115	32	70	4433
51116	2	264	1978
51117	313	314	2441
51118	108	201	829
51119	110	115	4264
51120	7	251	2900
51121	20	55	3336
51122	99	116	294
51123	75	145	3654
51124	15	210	3887
51125	290	304	981
51126	299	304	5021
51127	292	310	2704
51128	32	70	6653
51129	207	282	2899
51130	296	317	6487
51131	297	298	4221
51132	31	167	3421
51133	165	254	1078
51134	127	264	7188
51135	99	228	2719
51136	41	131	5069
51137	2	264	1373
51138	313	314	1969
51139	228	249	1245
51140	99	228	3008
51141	110	115	778
51142	7	251	3108
51143	20	55	2908
51144	99	116	2829
51145	108	201	2669
51146	305	325	752
51147	293	325	755
51148	15	210	257
51149	43	60	5778
51150	290	304	7189
51151	299	304	891
51152	292	310	388
51153	308	310	6423
51154	296	317	5924
51155	31	167	4499
51156	127	264	780
51157	154	184	171
51158	34	289	2266
51159	41	131	1396
51160	32	70	1014
51161	2	264	3612
51162	313	314	4531
51163	108	201	6102
51164	110	115	157
51165	7	251	2694
51166	99	116	1263
51167	12	75	417
51168	15	210	5900
51169	290	304	241
51170	304	317	4195
51171	299	304	5677
51172	16	19	2433
51173	121	203	6044
51174	308	310	3452
51175	25	73	1995
51176	207	282	1565
51177	88	228	1781
51178	72	98	4254
51179	47	283	879
51180	218	276	4540
51181	31	167	5057
51182	100	137	1626
51183	127	264	7139
51184	34	289	5702
51185	183	259	4314
51186	41	131	6552
51187	32	70	6269
51188	23	103	382
51189	2	264	1787
51190	139	178	698
51191	4	159	5312
51192	21	241	4793
51193	35	269	6160
51194	210	220	579
51195	110	115	4595
51196	313	314	2983
51197	99	116	5062
51198	12	75	4745
51199	108	201	4350
51200	321	325	2400
51201	305	325	6480
51202	290	304	6380
51203	7	251	2687
51204	292	310	3623
51205	305	313	5417
51206	293	305	6227
51207	22	250	6306
51208	32	70	6794
51209	25	73	4495
51210	207	282	5434
51211	72	98	4441
51212	47	283	6479
51213	297	298	1835
51214	100	137	4415
51215	31	167	2197
51216	34	289	1646
51217	308	310	2752
51218	41	131	4367
51219	183	259	590
51220	98	132	347
51221	2	264	2931
51222	139	178	2549
51223	105	179	3086
51224	21	241	536
51225	108	201	952
51226	210	220	7193
51227	110	115	6325
51228	313	314	4359
51229	305	325	5336
51230	15	210	5187
51231	43	60	7190
51232	290	304	6598
51233	304	305	2826
51234	293	305	5167
51235	292	310	2774
51236	228	249	2933
51237	25	73	4575
51238	88	228	3079
51239	72	98	3180
51240	47	283	1277
51241	310	318	1442
51242	31	167	6586
51243	100	137	2722
51244	127	264	5383
51245	41	131	4773
51246	183	259	3018
51247	178	180	3517
51248	2	264	6153
51249	313	314	1858
51250	218	240	1296
51251	21	241	3410
51252	101	111	914
51253	20	55	4521
51254	305	325	2777
51255	15	210	20
51256	43	60	1567
51257	290	304	2907
51258	304	305	1226
51259	299	304	1660
51260	154	184	3491
51261	228	249	22
51262	32	70	4611
51263	25	73	2242
51264	99	228	5270
51265	47	283	3130
51266	297	298	2545
51267	108	201	6427
51268	31	167	4561
51269	100	137	1474
51270	127	264	172
51271	41	131	6188
51272	183	259	5437
51273	2	264	3511
51274	313	314	1453
51275	301	320	3416
51276	105	179	599
51277	296	317	6432
51278	21	241	1583
51279	108	201	4109
51280	291	321	3825
51281	101	111	1571
51282	20	55	1341
51283	21	193	4382
51284	305	325	6504
51285	21	60	2673
51286	290	304	5806
51287	293	305	1844
51288	292	310	3875
51289	228	249	6496
51290	32	70	527
51291	207	282	2296
51292	31	167	1255
51293	127	264	467
51294	230	256	6186
51295	128	258	4592
51296	22	194	970
51297	41	131	3525
51298	34	88	1810
51299	100	137	964
51300	104	201	5855
51301	2	264	229
51302	313	314	4562
51303	21	241	2401
51304	108	201	7174
51305	101	111	2842
51306	20	55	3224
51307	139	178	6686
51308	230	256	3519
51309	14	260	4384
51310	21	60	5904
51311	290	304	4856
51312	41	131	4683
51313	292	310	1577
51314	121	203	1655
51315	293	305	4283
51316	228	249	2675
51317	308	310	1844
51318	25	73	650
51319	207	282	2290
51320	99	228	2882
51321	297	298	779
51322	31	167	3297
51323	100	137	5893
51324	80	93	2809
51325	34	289	368
51326	127	264	6609
51327	32	70	2749
51328	2	264	1256
51329	313	314	6300
51330	301	320	3134
51331	98	105	5819
51332	105	179	1363
51333	193	240	647
51334	21	241	909
51335	35	269	6395
51336	7	251	529
51337	20	55	4909
51338	108	201	1007
51339	22	194	6274
51340	290	304	2327
51341	66	76	2908
51342	293	305	4557
51343	121	203	4408
51344	292	310	4515
51345	228	249	3687
51346	47	283	6442
51347	25	73	2266
51348	297	298	6398
51349	31	167	2434
51350	127	264	7333
51351	34	289	2259
51352	41	131	2386
51353	94	214	1639
51354	84	214	2406
51355	2	264	1258
51356	313	314	1989
51357	98	105	34
51358	105	179	6169
51359	193	240	6226
51360	21	241	2672
51361	108	201	1292
51362	101	111	1818
51363	7	251	6982
51364	20	55	3270
51365	68	192	4507
51366	146	207	2907
51367	15	210	377
51368	290	304	2058
51369	293	305	2819
51370	292	310	2065
51371	228	249	665
51372	308	310	6349
51373	207	282	4548
51374	47	283	6102
51375	297	298	6165
51376	31	167	3775
51377	127	264	2202
51378	128	258	2413
51379	22	41	2908
51380	41	131	2916
51381	100	137	1082
51382	94	214	4878
51383	84	214	1562
51384	2	264	159
51385	313	314	4440
51386	301	320	6442
51387	300	320	2619
51388	105	179	4324
51389	193	240	1268
51390	21	241	1787
51391	35	269	4192
51392	101	111	3580
51393	20	55	4334
51394	68	192	410
51395	108	201	1959
51396	305	325	6770
51397	146	207	3475
51398	290	304	1896
51399	42	64	949
51400	66	76	4015
51401	292	310	6378
51402	228	249	4569
51403	308	310	6875
51404	296	317	6481
51405	47	283	2841
51406	31	167	2708
51407	126	236	483
51408	230	256	243
51409	300	301	3151
51410	34	88	2904
51411	41	131	1596
51412	317	318	2976
51413	100	137	6045
51414	125	237	5289
51415	2	264	4250
51416	313	314	932
51417	14	105	159
51418	193	240	671
51419	21	241	712
51420	108	201	4427
51421	65	190	1754
51422	20	55	1906
51423	99	116	2132
51424	300	301	758
51425	68	192	4115
51426	230	256	5057
51427	321	325	6762
51428	305	325	1345
51429	290	304	3171
51430	293	305	5477
51431	292	310	67
51432	228	249	2460
51433	308	310	5777
51434	296	317	2896
51435	72	98	3912
51436	47	283	8
51437	31	167	4908
51438	80	93	3562
51439	47	288	495
51440	41	131	2400
51441	317	318	5014
51442	98	132	2034
51443	100	137	4862
51444	23	103	3851
51445	2	264	2924
51446	313	314	5394
51447	300	301	2371
51448	193	240	3758
51449	21	241	6015
51450	108	201	1459
51451	68	192	1050
51452	75	145	1415
51453	146	207	1176
51454	290	304	2746
51455	42	64	4727
51456	66	76	1787
51457	292	310	770
51458	20	257	2739
51459	228	249	406
51460	70	81	2572
51461	296	317	2655
51462	72	98	2469
51463	297	298	854
51464	308	310	6362
51465	100	137	1288
51466	126	236	620
51467	80	93	2415
51468	31	167	4264
51469	128	258	2333
51470	88	228	1413
51471	34	289	1421
51472	230	256	3825
51473	22	41	6188
51474	47	288	2803
51475	41	131	907
51476	317	318	397
51477	98	132	2367
51478	2	264	596
51479	313	314	5166
51480	301	320	3572
51481	300	320	6749
51482	193	240	2309
51483	21	241	3022
51484	108	201	1658
51485	110	115	2619
51486	20	55	3735
51487	27	50	4720
51488	99	116	6483
51489	230	256	4443
51490	75	145	1281
51491	146	207	1846
51492	21	60	5894
51493	290	304	4398
51494	42	64	239
51495	66	76	540
51496	292	310	4045
51497	36	180	5925
51498	228	249	4588
51499	47	283	4665
51500	308	310	6157
51501	25	73	6126
51502	88	228	1764
51503	72	98	4695
51504	31	167	5270
51505	80	93	4358
51506	128	258	7056
51507	34	289	4510
51508	41	131	2809
51509	100	137	1170
51510	125	237	1428
51511	2	264	1313
51512	313	314	1241
51513	300	320	6613
51514	98	132	4385
51515	193	240	5347
51516	108	201	6904
51517	110	115	4037
51518	20	55	944
51519	71	116	1306
51520	99	116	4242
51521	68	192	1247
51522	321	325	47
51523	305	325	4304
51524	222	248	4353
51525	21	60	938
51526	290	304	6476
51527	66	76	1396
51528	292	310	4536
51529	121	203	1289
51530	228	249	3167
51531	47	283	2467
51532	308	310	2317
51533	25	73	3193
51534	296	317	4210
51535	31	167	4423
51536	126	236	2385
51537	80	93	1679
51538	230	256	3114
51539	300	301	2864
51540	36	180	5287
51541	41	131	82
51542	100	137	2379
51543	2	264	2391
51544	313	314	4537
51545	300	320	1287
51546	193	240	4688
51547	108	201	4309
51548	110	115	3716
51549	49	131	634
51550	99	116	2400
51551	230	256	369
51552	321	325	1268
51553	305	325	1810
51554	222	248	6483
51555	290	304	1503
51556	263	267	6372
51557	292	310	2647
51558	121	203	2920
51559	228	249	6104
51560	308	310	2891
51561	25	73	1521
51562	297	298	1560
51563	31	167	1431
51564	126	236	4578
51565	80	93	6484
51566	300	301	2953
51567	128	258	3946
51568	41	131	4520
51569	36	180	1949
51570	100	137	1815
51571	2	53	1609
51572	2	264	1098
51573	313	314	1508
51574	300	320	3387
51575	193	240	211
51576	108	201	3217
51577	20	55	647
51578	99	116	639
51579	305	325	6134
51580	21	60	3513
51581	290	304	2422
51582	263	267	1382
51583	121	203	6391
51584	292	310	6497
51585	228	249	765
51586	308	310	6235
51587	25	73	3274
51588	88	228	1892
51589	72	98	4917
51590	297	298	1472
51591	31	167	2159
51592	126	236	1798
51593	80	93	391
51594	230	256	6284
51595	300	301	3952
51596	128	258	2017
51597	41	131	4
51598	317	318	4597
51599	100	137	34
51600	2	53	2790
51601	2	264	1256
51602	313	314	6061
51603	300	320	4436
51604	193	240	6477
51605	296	317	1063
51606	20	55	5867
51607	99	116	4887
51608	14	260	7253
51609	21	60	522
51610	290	304	2879
51611	42	64	1335
51612	127	264	6343
51613	308	310	1497
51614	88	228	2768
51615	297	298	6437
51616	108	201	4031
51617	126	236	6480
51618	31	167	2535
51619	300	301	4849
51620	128	258	3123
51621	174	287	947
51622	41	131	3717
51623	100	137	231
51624	125	237	1309
51625	2	53	4893
51626	2	264	129
51627	313	314	3574
51628	301	320	675
51629	98	132	5885
51630	193	240	2757
51631	108	201	4889
51632	71	116	2521
51633	99	116	578
51634	127	264	2051
51635	222	248	4623
51636	14	260	4536
51637	21	60	5136
51638	290	304	6586
51639	42	64	2920
51640	41	131	906
51641	292	310	5092
51642	121	203	5151
51643	293	305	1890
51644	228	249	5265
51645	308	310	436
51646	297	298	3939
51647	126	236	4603
51648	80	93	48
51649	31	167	3623
51650	300	301	3420
51651	128	258	6225
51652	174	287	1172
51653	263	267	2897
51654	100	137	6141
51655	2	53	2016
51656	2	264	3561
51657	313	314	5757
51658	301	320	1496
51659	105	179	6162
51660	193	240	5082
51661	108	201	1255
51662	110	115	512
51663	99	116	6168
51664	22	194	4149
51665	14	260	1894
51666	21	60	7070
51667	290	304	6179
51668	66	76	7030
51669	293	305	6688
51670	121	203	6361
51671	228	249	1418
51672	308	310	656
51673	25	73	6160
51674	72	98	6510
51675	297	298	7128
51676	31	167	5579
51677	300	301	6201
51678	128	258	2884
51679	34	289	759
51680	41	131	157
51681	100	137	2929
51682	104	201	2392
51683	2	264	3555
51684	313	314	4878
51685	300	320	2969
51686	98	132	19
51687	43	132	690
51688	193	240	1565
51689	88	228	4210
51690	228	249	6100
51691	110	115	6126
51692	101	111	6230
51693	321	325	6136
51694	305	325	1715
51695	14	260	867
51696	290	304	832
51697	304	321	6367
51698	42	64	37
51699	293	305	4443
51700	308	310	93
51701	296	317	6279
51702	297	298	1274
51703	77	267	1629
51704	108	201	374
51705	127	264	665
51706	31	167	2349
51707	300	301	2953
51708	174	287	12
51709	41	131	4891
51710	100	137	1026
51711	2	264	380
51712	313	314	3343
51713	178	180	1609
51714	193	240	766
51715	108	201	4
51716	174	287	5471
51717	101	111	6630
51718	20	55	1734
51719	99	116	5880
51720	305	325	2932
51721	321	325	1795
51722	293	325	2040
51723	42	64	4445
51724	14	260	784
51725	21	60	5775
51726	290	304	2341
51727	293	305	6155
51728	98	132	1976
51729	43	132	2865
51730	228	249	4742
51731	32	70	19
51732	296	317	100
51733	297	298	3625
51734	308	310	4459
51735	100	137	3658
51736	127	264	6544
51737	31	167	2654
51738	300	301	6144
51739	41	131	2318
51740	317	318	6287
51741	313	314	767
51742	300	301	2050
51743	35	269	1381
51744	101	111	1881
51745	20	55	3989
51746	68	192	6206
51747	42	64	317
51748	108	201	4742
51749	305	325	5170
51750	290	304	4541
51751	293	305	786
51752	98	132	5483
51753	228	249	3438
51754	308	310	402
51755	31	167	886
51756	127	264	1883
51757	174	287	6568
51758	41	131	5347
51759	317	318	4017
51760	178	180	365
51761	100	137	2648
51762	44	46	548
51763	2	264	423
51764	313	314	7051
51765	301	320	2851
51766	300	320	5482
51767	178	180	6396
51768	193	240	177
51769	108	201	6992
51770	6	74	1352
51771	101	111	305
51772	293	325	6388
51773	14	260	6404
51774	290	304	4620
51775	42	64	4979
51776	293	305	34
51777	121	203	6066
51778	228	249	6340
51779	308	310	3445
51780	88	228	2920
51781	297	298	3220
51782	77	267	1319
51783	127	264	1642
51784	31	167	974
51785	300	301	6562
51786	174	287	4166
51787	41	131	35
51788	100	137	3452
51789	44	46	1887
51790	2	264	18
51791	313	314	815
51792	301	320	4472
51793	300	320	3521
51794	193	240	4599
51795	108	201	3429
51796	110	115	6250
51797	101	111	6449
51798	7	251	2782
51799	305	325	4924
51800	321	325	394
51801	293	325	2909
51802	14	260	2899
51803	15	210	6377
51804	290	304	2483
51805	42	64	1267
51806	293	305	2339
51807	121	203	6150
51808	308	310	2631
51809	25	73	741
51810	88	228	4246
51811	228	249	255
51812	297	298	1746
51813	127	264	6844
51814	31	167	1615
51815	300	301	358
51816	174	287	1903
51817	34	88	16
51818	41	131	6875
51819	100	137	978
51820	44	46	6110
51821	2	264	1592
51822	313	314	5851
51823	14	105	5680
51824	193	240	2598
51825	108	201	2893
51826	101	111	2023
51827	27	50	126
51828	44	50	1390
51829	321	325	3363
51830	305	325	509
51831	21	60	7302
51832	290	304	2103
51833	148	176	2528
51834	42	64	2714
51835	293	305	6518
51836	121	203	5945
51837	127	264	4181
51838	308	310	4456
51839	25	73	2726
51840	297	298	936
51841	31	167	3509
51842	300	301	93
51843	174	287	3081
51844	317	318	5291
51845	100	137	25
51846	2	264	458
51847	313	314	1001
51848	301	320	1125
51849	193	240	3814
51850	108	201	60
51851	6	74	4795
51852	101	111	5460
51853	304	325	6453
51854	305	325	2025
51855	15	210	7168
51856	290	304	4694
51857	42	64	4459
51858	293	305	1697
51859	228	249	4485
51860	308	310	5571
51861	25	73	5270
51862	99	228	2711
51863	72	98	1126
51864	28	36	6400
51865	297	298	2811
51866	126	236	2910
51867	127	264	6160
51868	31	167	3644
51869	300	301	1232
51870	174	287	5259
51871	41	131	434
51872	100	137	17
51873	2	264	4983
51874	139	178	3497
51875	301	320	591
51876	300	320	3701
51877	178	180	3165
51878	35	269	5808
51879	101	111	3345
51880	191	205	261
51881	313	314	6054
51882	35	266	2734
51883	108	201	7047
51884	293	325	3991
51885	290	304	2494
51886	42	64	2692
51887	121	203	4903
51888	228	249	3002
51889	308	310	4174
51890	297	298	1811
51891	127	264	4951
51892	31	167	663
51893	300	301	3197
51894	174	287	2707
51895	129	135	1925
51896	126	236	4229
51897	41	131	593
51898	44	46	6119
51899	2	264	589
51900	313	314	2602
51901	301	320	2780
51902	193	240	4365
51903	108	201	6252
51904	174	287	2878
51905	110	115	620
51906	101	111	5358
51907	20	55	2063
51908	45	116	6488
51909	321	325	1265
51910	43	60	1981
51911	290	304	3711
51912	42	64	3241
51913	263	267	1382
51914	121	203	5650
51915	127	264	1105
51916	228	249	5602
51917	308	310	3215
51918	296	317	4009
51919	72	98	5949
51920	297	298	663
51921	35	269	5053
51922	126	236	6864
51923	31	167	6116
51924	300	301	6115
51925	41	131	1258
51926	100	137	416
51927	2	264	3409
51928	313	314	3627
51929	301	320	3643
51930	178	180	3638
51931	108	201	435
51932	191	205	3848
51933	174	287	5145
51934	110	115	4861
51935	101	111	6977
51936	20	55	624
51937	45	116	323
51938	321	325	1645
51939	293	325	2860
51940	290	304	5237
51941	42	64	48
51942	263	267	4842
51943	292	310	6440
51944	121	203	907
51945	228	249	2700
51946	308	310	1427
51947	25	73	1428
51948	296	317	3356
51949	72	98	5762
51950	297	298	3111
51951	35	269	4461
51952	127	264	2020
51953	31	167	4544
51954	300	301	2537
51955	41	131	1804
51956	49	131	5451
51957	220	257	2757
51958	2	264	6624
51959	139	178	4296
51960	301	320	371
51961	193	240	4585
51962	108	201	4403
51963	174	287	1007
51964	110	115	4534
51965	101	111	586
51966	191	205	1277
51967	20	55	4903
51968	313	314	4390
51969	45	116	4822
51970	127	264	2425
51971	68	192	3751
51972	305	325	362
51973	321	325	6126
51974	293	325	3756
51975	14	260	1374
51976	15	210	379
51977	77	276	6673
51978	304	309	12
51979	290	304	6042
51980	42	64	2455
51981	44	66	1054
51982	292	310	649
51983	121	203	6486
51984	293	305	593
51985	228	249	4865
51986	25	73	2877
51987	296	317	3183
51988	72	98	486
51989	297	298	6494
51990	35	269	1687
51991	31	167	5229
51992	300	301	6851
51993	49	131	390
51994	317	318	4636
51995	2	264	2053
51996	139	178	2922
51997	301	320	1944
51998	193	240	3330
51999	108	201	1263
52000	138	284	6493
52001	191	205	2379
52002	20	55	3308
52003	313	314	45
52004	22	250	6476
52005	305	325	1735
52006	321	325	302
52007	293	325	4727
52008	14	260	4502
52009	15	210	3339
52010	290	304	2953
52011	121	203	1625
52012	292	310	3939
52013	70	81	4851
52014	196	197	2928
52015	296	317	2784
52016	297	298	623
52017	35	269	4829
52018	31	167	1552
52019	100	137	3857
52020	127	264	4685
52021	300	301	1806
52022	228	249	4827
52023	41	131	3374
52024	308	310	2899
52025	317	318	3017
52026	72	98	3409
52027	2	264	552
52028	2	127	2036
52029	2	53	7255
52030	139	178	2829
52031	165	254	1699
